genotype,Rho_mean_basal,Rho_mean_TNF12h,SASP_mean_basal,SASP_mean_TNF12h
WT,0.018266412395249055,-0.08008728675726205,-0.22025565743561748,0.46528470097222235
PPM1D_KO,-0.04915471945512727,5.409175405847964e-4,-0.40398394340894583,1.4463961939674874
PPM1B_KO,0.05497891492965362,-0.3080899266351393,-0.1399013840239337,0.055185351769315195
DKO,0.15768223612124516,NA,0.16277835394823292,NA
