genotype,DDR_mean_basal,DDR_mean_TNF12h,Inf_mean_basal,Inf_mean_TNF12h
WT,-0.03640747419935768,0.420351245873343,-0.06806982807587383,0.8039416430484629
PPM1D_KO,-0.12092209437330972,0.2802367551839541,-0.26266933220290584,0.9887677000658829
PPM1B_KO,-0.22036915994299058,0.3055407635699383,-0.3295567012668118,0.42147102917049356
DKO,0.06348371045986845,NA,-0.11664639382403316,NA
