module,category,genotype,tnf,mean_score,sd_score,n
Tysh_DNAmAge,Aging clock,PPM1D_KO,TNF12h,-0.23650451036080639,NA,1
Tysh_DNAmAge,Aging clock,PPM1B_KO,basal,0.01749154687584113,0.2971946087170342,3
Tysh_DNAmAge,Aging clock,PPM1B_KO,TNF12h,0.2913325089046579,NA,1
Tysh_DNAmAge,Aging clock,DKO,basal,-0.07955015033228177,0.20017005909027985,2
Tysh_LongevityUp,Aging clock,WT,basal,0.03481506331955868,0.2808422750663573,3
Tysh_LongevityUp,Aging clock,WT,TNF12h,-0.1360377304853997,NA,1
Tysh_LongevityUp,Aging clock,PPM1D_KO,basal,0.11337204123238323,0.023330643390630224,3
Tysh_LongevityUp,Aging clock,PPM1D_KO,TNF12h,-0.15596875965220225,NA,1
Tysh_LongevityUp,Aging clock,PPM1B_KO,basal,0.31056517568478914,0.0575164526586814,3
Tysh_LongevityUp,Aging clock,PPM1B_KO,TNF12h,-0.12927670638285288,NA,1
Tysh_LongevityUp,Aging clock,DKO,basal,-0.47748682209486965,0.32324620102401747,2
