"gene_id"
"Tm4sf1"
"Fscn1"
"Ccnd1"
"Serpinf1"
"Cfl1"
"Ehd1"
"Anxa5"
"Tfpi"
"Flna"
"Emp1"
"Pdlim7"
"Ptprt"
"Tubb6"
"Rgl1"
"Twist2"
"Ero1a"
"Sfxn1"
"Vcam1"
"Pop1"
"Myo1b"
"Stbd1"
"Deptor"
"Grk6"
"Sgk1"
"Serpinh1"
"Haus7"
"Nxf3"
"Psmd8"
"Hmga1"
"Cnn3"
"Fads3"
"Etv4"
"Micall2"
"Tubb5"
"Avil"
"Bub1b"
"Hsd17b10"
"Cyb5r3"
"Ppp1ca"
"Msmo1"
"Plk2"
"Rasa3"
"Gm46220"
"Ltbp1"
"Psph"
"Tnfrsf12a"
"Fdps"
"Ap2a2"
"Clstn3"
"Tubb3"
"Epha2"
"Sspo"
"Zfp985"
"Pitx1"
"Prl2c3"
"Arpc1b"
"S100a10"
"Tuba1c"
"Prrx1"
"Gm9732"
"Mta3"
"Ppp1r14b"
"Cdc20"
"Mcc"
"Ppm1d"
"Fads2"
"Kif23"
"Kif26b"
"Zfp979"
"Ccs"
"Fads1"
"Taldo1"
"Esd"
"Nt5dc2"
"Myof"
"Ppp1r15a"
"Ptges"
"Col18a1"
"Ehbp1l1"
"Ccl2"
"Slc9b1"
"Phlda1"
"Foxf2"
"Casp3"
"Erlin1"
"Acot7"
"Tpm4"
"Farp1"
"Hmgcs1"
"Ranbp9"
"Zc3hav1"
"Impact"
"Akr1b1"
"Foxf1"
"Tagln2"
"Clcn3"
"Ccnb2"
"Pcx"
"Bpgm"
"Mir100hg"
"Gxylt2"
"Nos1"
"Mxd3"
"Hmga2"
"Rps6ka4"
"Actn1"
"Lrig1"
"Firre"
"Prkar2b"
"Lamb1"
"Idh2"
"Ehd2"
"Flcn"
"Gm867"
"Gnai2"
"Slc22a23"
"Pdgfc"
"Pold1"
"Tpm1"
"Parvb"
"Pmf1"
"Pnpo"
"Polr3b"
"Gosr2"
"Ccdc47"
"Pon3"
"Taf15"
"Lmna"
"Kdm5b"
"H3f3b"
"Styk1"
"Prkg2"
"Gadd45a"
"Prrx2"
"Ets1"
"Hspa5"
"Tspan4"
"Zfp982"
"Cd34"
"Fdft1"
"CYTB"
"Daglb"
"Specc1"
"Klf9"
"Unc5b"
"Spp1"
"Atf3"
"Fnbp1"
"Lpcat4"
"Arhgef40"
"Kitl"
"Gjb3"
"Sh3d19"
"Gli1"
"Fhl2"
"Gm4366"
"Ubn1"
"Dpysl3"
"Gm29915"
"2410006H16Rik"
"Nqo1"
"Anxa1"
"Ext1"
"B230307C23Rik"
"Zmym6"
"Eepd1"
"Nopchap1"
"Ptgs2"
"Pxk"
"Cdk12"
"Epn2"
"Gm52531"
"Slc6a8"
"Hap1"
"Sesn2"
"B4galnt4"
"Pla2g5"
"Cd74"
"Ptgs2os2"
"Arl10"
"Fgf10"
"Gsta4"
"Bin1"
"Zfas1"
"Rxra"
"Gsdme"
"Ahr"
"Pitpnm1"
"Sirt1"
"Atp2a3"
"Zfp978"
"Vegfc"
"Dmxl2"
"Etv5"
"Efemp2"
"mt-Rnr2"
"Rras2"
"Pcdh17"
"Nsdhl"
"Smox"
"2310022B05Rik"
"Clk3"
"Xbp1"
"6030458C11Rik"
"B3galnt2"
"Col5a1"
"Foxp1"
"Gm3571"
"Trib3"
"Sntb2"
"Slc35b4"
"Psen2"
"Tpp1"
"Etfdh"
"Usp36"
"Arhgap22"
"Fmn1"
"Mxra7"
"Atxn7l3b"
"Klhl22"
"Cav1"
"Ern1"
"Snhg12"
"Platr14"
"B4gat1"
"Mvk"
"Mertk"
"Xrcc5"
"Cep55"
"Cyct"
"Bfar"
"Akr1c14"
"Smarcad1"
"Sbds"
"Gins2"
"Fndc3c1"
"Fosl1"
"Cpne7"
