"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","class","is_target","sig"
"Acp1",296.636363636364,-0.303322776572993,0.13790437851262,-2.19951519918735,0.0278413095979011,0.0631745426333063,"genotype_PPM1D_KO_vs_WT","ACP/ALP",FALSE,"NS"
"Ppm1a",386.909090909091,0.285164506712194,0.152655548924047,1.86802581840032,0.0617584722744084,0.121859284246888,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ptpn21",131.818181818182,1.29602632426957,0.199440421930006,6.49831318911076,8.12255740259212e-11,1.78106096162383e-09,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"Up"
"Ptprg",80.8181818181818,0.819918544862717,0.266729936762933,3.07396520545594,0.00211234067230478,0.00749051417130217,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp3cb",216.363636363636,0.0323246921244466,0.138293066324537,0.233740511968902,0.815186434779953,0.87639992819504,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Ppm1f",105.909090909091,-0.661291411912603,0.186239176536824,-3.55076426028897,0.000384114302951586,0.00173357844401763,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Dusp1",43,-0.107713491009779,0.329828453389877,-0.326574284003494,0.743989896363316,0.824918110568588,"genotype_PPM1D_KO_vs_WT","DUSP",FALSE,"NS"
"Ptprs",670.454545454545,0.941051308345535,0.17343674275501,5.42590510751708,5.76615887883921e-08,7.13336677697175e-07,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprm",112.363636363636,1.8677848571515,0.238668672738052,7.82584842712669,5.04244573834219e-15,2.24134758632978e-13,"genotype_PPM1D_KO_vs_WT","PTPR (receptor)",FALSE,"Up"
"Ppm1b",233.545454545455,-0.169680881192025,0.164474402748883,-1.03165525064159,0.302233647712278,0.425905071511968,"genotype_PPM1D_KO_vs_WT","PPM/PP2C",TRUE,"NS"
"Ptpn2",191.272727272727,-0.296074546390547,0.168511818827359,-1.75699573152122,0.0789185367639798,0.148075552946551,"genotype_PPM1D_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1ca",1271.36363636364,-0.0137287237733069,0.118317848617133,-0.116032567645241,0.907626730865348,0.941364144846144,"genotype_PPM1D_KO_vs_WT","PPP",FALSE,"NS"
"Pten",185.363636363636,1.20213034522993,0.158548565198625,7.58209538966141,3.40018127776392e-14,1.31290501324568e-12,"genotype_PPM1D_KO_vs_WT","PTEN",FALSE,"Up"
"Ptprn",17.1818181818182,-0.514572735232881,0.551536294124852,-0.93298073166586,0.350829916994673,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptpn4",75.0909090909091,-0.536382130211789,0.243010433719358,-2.20723909670163,0.0272973596818218,0.601310997855941,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Dusp10",19.2727272727273,-0.337034563004126,0.377570567397865,-0.892639925105644,0.372050031203715,0.999999972400712,"genotype_PPM1B_KO_vs_WT","DUSP",FALSE,"NS"
"Ptpn14",92.5454545454545,-0.184678636478346,0.208139176901392,-0.887284360530741,0.374925823503509,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprj",33.5454545454545,0.0430689536478193,0.307314583449527,0.140146143291937,0.888544523246053,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Acp2",39.2727272727273,-0.0147968289456394,0.291007147839166,-0.050846960480219,0.959447470197128,0.999999972400712,"genotype_PPM1B_KO_vs_WT","ACP/ALP",FALSE,"NS"
